figure,title,group,svg,pdf,png
Graphical abstract,Streaming motion forecasting: research contributions,Overview,Overview/graphical_abstract.svg,Overview/graphical_abstract.pdf,Overview/graphical_abstract.png
2.1,Evolution of learned motion forecasting,Foundations,Foundations/forecasting_research_landscape.svg,Foundations/forecasting_research_landscape.pdf,Foundations/forecasting_research_landscape.png
2.2,Attention and state-space inductive biases,Foundations,Foundations/attention_state_space_comparison.svg,Foundations/attention_state_space_comparison.pdf,Foundations/attention_state_space_comparison.png
2.3,SEAM endpoint-aware streaming,Architectures/SEAM,Architectures/SEAM/endpoint_aware_streaming.svg,Architectures/SEAM/endpoint_aware_streaming.pdf,Architectures/SEAM/endpoint_aware_streaming.png
3.1,Experimental programme,Overview,Overview/experimental_programme.svg,Overview/experimental_programme.pdf,Overview/experimental_programme.png
3.2,SEAM architecture and Mamba placements,Architectures/SEAM,Architectures/SEAM/state_space_intervention_locations.svg,Architectures/SEAM/state_space_intervention_locations.pdf,Architectures/SEAM/state_space_intervention_locations.png
3.3,SEAM context and attention interventions,Architectures/SEAM,Architectures/SEAM/context_attention_intervention_locations.svg,Architectures/SEAM/context_attention_intervention_locations.pdf,Architectures/SEAM/context_attention_intervention_locations.png
3.4,SHARP reference architecture,Architectures/SHARP,Architectures/SHARP/reference_architecture.svg,Architectures/SHARP/reference_architecture.pdf,Architectures/SHARP/reference_architecture.png
3.5,SHARP intervention locations,Architectures/SHARP,Architectures/SHARP/intervention_locations.svg,Architectures/SHARP/intervention_locations.pdf,Architectures/SHARP/intervention_locations.png
3.6,Experiment and evidence pipeline,Supporting_Evidence,Supporting_Evidence/experiment_evidence_pipeline.svg,Supporting_Evidence/experiment_evidence_pipeline.pdf,Supporting_Evidence/experiment_evidence_pipeline.png
4.1,SEAM state-space integration: minADE6,Studies/SEAM/State_Space_Integration,Studies/SEAM/State_Space_Integration/selected_minade6.svg,Studies/SEAM/State_Space_Integration/selected_minade6.pdf,Studies/SEAM/State_Space_Integration/selected_minade6.png
4.2,SEAM state-space integration: training time,Studies/SEAM/State_Space_Integration,Studies/SEAM/State_Space_Integration/training_time.svg,Studies/SEAM/State_Space_Integration/training_time.pdf,Studies/SEAM/State_Space_Integration/training_time.png
4.3,SEAM context and attention ablation: minADE6,Studies/SEAM/Context_Attention_Ablation,Studies/SEAM/Context_Attention_Ablation/selected_minade6.svg,Studies/SEAM/Context_Attention_Ablation/selected_minade6.pdf,Studies/SEAM/Context_Attention_Ablation/selected_minade6.png
4.4,SEAM context and attention ablation: training time,Studies/SEAM/Context_Attention_Ablation,Studies/SEAM/Context_Attention_Ablation/training_time.svg,Studies/SEAM/Context_Attention_Ablation/training_time.pdf,Studies/SEAM/Context_Attention_Ablation/training_time.png
4.5,SHARP architectural ablation: minADE6,Studies/SHARP/Architecture_Ablation,Studies/SHARP/Architecture_Ablation/selected_minade6.svg,Studies/SHARP/Architecture_Ablation/selected_minade6.pdf,Studies/SHARP/Architecture_Ablation/selected_minade6.png
4.6,SHARP architectural ablation: training time,Studies/SHARP/Architecture_Ablation,Studies/SHARP/Architecture_Ablation/training_time.svg,Studies/SHARP/Architecture_Ablation/training_time.pdf,Studies/SHARP/Architecture_Ablation/training_time.png
4.7,SHARP attention operators: minADE6,Studies/SHARP/Attention_Operators,Studies/SHARP/Attention_Operators/selected_minade6.svg,Studies/SHARP/Attention_Operators/selected_minade6.pdf,Studies/SHARP/Attention_Operators/selected_minade6.png
4.8,SHARP attention operators: training time,Studies/SHARP/Attention_Operators,Studies/SHARP/Attention_Operators/training_time.svg,Studies/SHARP/Attention_Operators/training_time.pdf,Studies/SHARP/Attention_Operators/training_time.png
4.9,SHARP state-space placement: minADE6,Studies/SHARP/State_Space_Placement,Studies/SHARP/State_Space_Placement/selected_minade6.svg,Studies/SHARP/State_Space_Placement/selected_minade6.pdf,Studies/SHARP/State_Space_Placement/selected_minade6.png
4.10,SHARP state-space placement: training time,Studies/SHARP/State_Space_Placement,Studies/SHARP/State_Space_Placement/training_time.svg,Studies/SHARP/State_Space_Placement/training_time.pdf,Studies/SHARP/State_Space_Placement/training_time.png
4.11,SHARP mechanism composition: minADE6,Studies/SHARP/Mechanism_Composition,Studies/SHARP/Mechanism_Composition/selected_minade6.svg,Studies/SHARP/Mechanism_Composition/selected_minade6.pdf,Studies/SHARP/Mechanism_Composition/selected_minade6.png
4.12,SHARP mechanism composition: miss rate,Studies/SHARP/Mechanism_Composition,Studies/SHARP/Mechanism_Composition/miss_rate.svg,Studies/SHARP/Mechanism_Composition/miss_rate.pdf,Studies/SHARP/Mechanism_Composition/miss_rate.png
4.13,SHARP mechanism composition: training time,Studies/SHARP/Mechanism_Composition,Studies/SHARP/Mechanism_Composition/training_time.svg,Studies/SHARP/Mechanism_Composition/training_time.pdf,Studies/SHARP/Mechanism_Composition/training_time.png
A.1,Research evidence traceability,Supporting_Evidence,Supporting_Evidence/research_evidence_traceability.svg,Supporting_Evidence/research_evidence_traceability.pdf,Supporting_Evidence/research_evidence_traceability.png
